date,temp,hum,bright
2/13/2024 4:09:27 PM,20.8,56,3
2/13/2024 4:10:27 PM,20.7,56,3
2/13/2024 4:11:26 PM,20.7,56,3
2/13/2024 4:12:27 PM,20.7,57,3
2/13/2024 4:13:27 PM,20.7,57,3
2/13/2024 4:14:26 PM,20.7,57,3
2/13/2024 4:15:26 PM,20.6,57,3
2/13/2024 4:16:27 PM,20.6,57,2
2/13/2024 4:17:27 PM,20.6,57,3
2/13/2024 4:18:26 PM,20.6,57,2
2/13/2024 4:19:27 PM,20.6,57,3
2/13/2024 4:20:27 PM,20.6,57,2
2/13/2024 4:21:27 PM,20.5,57,3
2/13/2024 4:22:27 PM,20.5,57,1
2/13/2024 4:23:27 PM,20.5,57,2
2/13/2024 4:24:26 PM,20.5,57,2
2/13/2024 4:25:27 PM,20.5,57,2
2/13/2024 4:26:27 PM,20.4,57,2
2/13/2024 4:27:26 PM,20.4,57,2
2/13/2024 4:28:27 PM,20.4,57,2
2/13/2024 4:29:27 PM,20.4,57,2
2/13/2024 4:30:26 PM,20.4,57,2
2/13/2024 4:31:26 PM,20.3,57,1
2/13/2024 4:32:26 PM,20.3,57,3
2/13/2024 4:33:26 PM,20.3,57,3
2/13/2024 4:34:27 PM,20.3,57,3
2/13/2024 4:35:26 PM,20.3,57,3
2/13/2024 4:36:26 PM,20.3,57,3
2/13/2024 4:37:26 PM,20.3,57,3
2/13/2024 4:38:27 PM,20.3,57,3
2/13/2024 4:39:27 PM,20.4,58,3
2/13/2024 4:40:27 PM,20.4,58,3
2/13/2024 4:41:27 PM,20.4,58,2
2/13/2024 4:42:27 PM,20.4,58,3
2/13/2024 4:43:26 PM,20.4,58,3
2/13/2024 4:44:27 PM,20.4,58,3
2/13/2024 4:45:26 PM,20.4,58,3
2/13/2024 4:46:26 PM,20.4,58,3
2/13/2024 4:47:26 PM,20.4,58,3
2/13/2024 4:48:26 PM,20.5,58,3
2/13/2024 4:49:26 PM,20.5,59,3
2/13/2024 4:50:26 PM,20.5,59,3
2/13/2024 4:51:27 PM,20.5,59,3
2/13/2024 4:52:26 PM,20.5,59,3
2/13/2024 4:53:26 PM,20.5,59,3
2/13/2024 4:54:26 PM,20.5,59,3
2/13/2024 4:55:26 PM,20.5,59,3
2/13/2024 4:56:26 PM,20.5,59,3
2/13/2024 4:57:27 PM,20.5,59,3
2/13/2024 4:58:26 PM,20.5,59,3
2/13/2024 4:59:26 PM,20.5,59,3
2/13/2024 5:00:26 PM,20.6,59,3
2/13/2024 5:01:26 PM,20.6,59,3
2/13/2024 5:02:26 PM,20.6,59,3
2/13/2024 5:03:26 PM,20.6,59,3
2/13/2024 5:04:26 PM,20.6,59,3
2/13/2024 5:05:26 PM,20.6,60,3
2/13/2024 5:06:26 PM,20.6,60,3
2/13/2024 5:07:26 PM,20.6,60,3
2/13/2024 5:08:26 PM,20.6,60,3
2/13/2024 5:09:26 PM,20.6,60,3
2/13/2024 5:10:27 PM,20.6,60,3
2/13/2024 5:11:27 PM,20.6,60,3
2/13/2024 5:12:26 PM,20.7,60,3
2/13/2024 5:13:27 PM,20.7,60,3
2/13/2024 5:14:26 PM,20.7,60,3
2/13/2024 5:15:26 PM,20.7,60,3
2/13/2024 5:16:26 PM,20.7,60,3
2/13/2024 5:17:26 PM,20.7,60,3
2/13/2024 5:18:27 PM,20.7,60,3
2/13/2024 5:19:27 PM,20.7,60,3
2/13/2024 5:20:26 PM,20.7,60,3
2/13/2024 5:21:26 PM,20.7,60,3
2/13/2024 5:22:26 PM,20.7,60,3
2/13/2024 5:23:26 PM,20.8,60,3
2/13/2024 5:24:26 PM,20.7,60,3
2/13/2024 5:25:27 PM,20.7,60,3
2/13/2024 5:26:27 PM,20.7,60,3
2/13/2024 5:27:27 PM,20.8,60,3
2/13/2024 5:28:27 PM,20.7,60,3
2/13/2024 5:29:26 PM,20.7,60,3
2/13/2024 5:30:26 PM,20.8,60,3
2/13/2024 5:31:26 PM,20.8,60,3
2/13/2024 5:32:26 PM,20.8,60,3
2/13/2024 5:33:26 PM,20.8,60,3
2/13/2024 5:34:26 PM,20.8,60,3
2/13/2024 5:35:26 PM,20.8,60,3
2/13/2024 5:36:27 PM,20.8,60,3
2/13/2024 5:37:26 PM,20.8,60,3
2/13/2024 5:38:26 PM,20.8,60,3
